T5o;0.44;0.27;0.19;0.15;0.12;0.10;0.08;0.07;0.06;
T4s;0.46;0.30;0.23;0.18;0.16;0.14;0.12;0.11;0.10;
T4o;0.43;0.26;0.19;0.14;0.12;0.10;0.08;0.07;0.06;
T3s;0.46;0.29;0.22;0.18;0.15;0.13;0.12;0.11;0.10;
T3o;0.42;0.26;0.18;0.14;0.11;0.09;0.08;0.07;0.06;
T2s;0.45;0.29;0.21;0.17;0.15;0.13;0.12;0.11;0.10;
T2o;0.42;0.25;0.17;0.13;0.11;0.09;0.08;0.07;0.06;
99;0.72;0.54;0.41;0.33;0.27;0.22;0.19;0.17;0.16;
98s;0.51;0.36;0.29;0.24;0.20;0.18;0.16;0.15;0.13;
98o;0.48;0.33;0.25;0.20;0.17;0.14;0.12;0.11;0.10;
97s;0.50;0.34;0.27;0.22;0.19;0.17;0.15;0.14;0.13;
97o;0.47;0.31;0.23;0.18;0.15;0.13;0.11;0.10;0.09;
96s;0.48;0.32;0.25;0.20;0.17;0.15;0.14;0.12;0.11;
96o;0.45;0.29;0.21;0.17;0.14;0.11;0.10;0.09;0.08;
95s;0.46;0.30;0.23;0.19;0.16;0.14;0.12;0.11;0.10;
95o;0.43;0.27;0.19;0.15;0.12;0.10;0.09;0.07;0.07;
94s;0.44;0.28;0.21;0.17;0.15;0.13;0.11;0.10;0.09;
94o;0.41;0.25;0.17;0.13;0.11;0.09;0.07;0.06;0.06;
93s;0.43;0.28;0.21;0.17;0.14;0.13;0.11;0.10;0.09;
93o;0.40;0.24;0.17;0.13;0.10;0.08;0.07;0.06;0.05;
92s;0.42;0.27;0.20;0.16;0.14;0.12;0.11;0.10;0.09;
92o;0.39;0.23;0.16;0.12;0.10;0.08;0.07;0.06;0.05;
88;0.69;0.50;0.38;0.29;0.24;0.20;0.18;0.16;0.14;
87s;0.48;0.34;0.27;0.22;0.19;0.17;0.15;0.14;0.13;
87o;0.46;0.31;0.23;0.19;0.15;0.13;0.12;0.10;0.09;
86s;0.47;0.32;0.25;0.21;0.18;0.16;0.14;0.13;0.12;
86o;0.44;0.29;0.21;0.17;0.14;0.12;0.10;0.09;0.08;
85s;0.45;0.30;0.23;0.19;0.16;0.14;0.13;0.12;0.11;
85o;0.42;0.27;0.19;0.15;0.12;0.11;0.09;0.08;0.07;
84s;0.43;0.28;0.21;0.17;0.15;0.13;0.12;0.11;0.10;
84o;0.40;0.24;0.18;0.13;0.11;0.09;0.08;0.07;0.06;
83s;0.41;0.26;0.20;0.16;0.14;0.12;0.11;0.10;0.09;
83o;0.38;0.22;0.16;0.12;0.10;0.08;0.07;0.06;0.05;
